id,source,type,prompt,response,lang,orig_id,fp
dlg_cbb0155f815386275f372989ec609d9f,train.csv,dialogue,Is this something I should be worried about? Should I do something about it?,"The answer depends on how the other areas of your son's life are doing.Is he happy or does he seem happy, playing alone during recess?Does he have friends in other social circles besides the students whom he's with at recess?How is his academic progress?How is his social integration among his classmates?Are there any special or unusual circumstances in the home and family environment?Go through this list to form a fuller idea of whether your son simply likes alone time and takes this option during recess, or if any if the above areas show stress or difficulty for him and which need to be further understood and handled.",en,,cbb0155f815386275f372989ec609d9f
dlg_c7613dbed473f5ba3dd4199dc32fa2ee,train.csv,dialogue,"I have an eating disorder of binging. I've had gastric sleeve surgery. I need help with issues of abuse as a child, addiction, and abusive men. I have been in therapy for five months and get no feedback from my therapist.","It can be really frustrating to feel like your counselor is not providing you with the help you need.My recommendation in a situation like this would be to let your counselor know how you feel. Specifically tell Your counselor that you don't seem to be getting the amount of feedback you would like.If this doesn't help, then you might want to look for another counselor who will be a better fit for you.",en,,c7613dbed473f5ba3dd4199dc32fa2ee
dlg_a1be9cdc599d68a8c56c03478da9565b,train.csv,dialogue,There's this boy who asked me out awhile ago. I said no because my friends and family would think weirdly of me. How do I be with him and tell him and tell my friends?,"Since you've decided to be with the boy who already showed you his interest, then why not simply tell him you decided to accept his invitation to be together?Probably your first concern about hesitating to accept this boy into your life due to the way you imagine your family may react if you do, is the more complex matter to solve.Forming a relationship does bring up our values and the way these are different or similar to our own. At the same time, we already have values which are rooted in those from the family in which we grew up.Your dilemma of wanting to be with this boy shows there is a clash between your values as an individual, including your choice of partner, and the way your family understands the values which support being part of a couple.Stay true to what you feel, whether this comes from your family or the way you currently are evolving.This will guarantee that your new relationship will be built on the values and person you truly are.",en,,a1be9cdc599d68a8c56c03478da9565b
dlg_017a5073f7e494c8490f955fc5546d82,train.csv,dialogue,"Any time things get heated, the past gets brought up. I raise my voice at her to try to get a point across. She asks open-ended questions but always has to turn my own answer against me. She's seven months pregnant. I have drank in the past, but I'm not dependent on alcohol—I only drink at social events.","Have you tried to talk about the subjects of the past, in the present at a time in which there is no heat between the two of you?Since your gf would like to resolve situations from the past the best way to do so would be to talk about them. The more you try to avoid certain subjects the more likely they will come up between you at worse possible moments.If you can get ahead of the pattern of old topics coming up without your control, then try scheduling a discussion about them. This by itself will show your gf you care about what she cares about and this may be one quality she would feel good about.",en,,017a5073f7e494c8490f955fc5546d82
dlg_28599e1f110e9bf0d4a92453fb0058ac,train.csv,dialogue,"I am a really shy person. I'm currently in a graduate program which requires lots of presentations, but they always make me feel stressed out and less confident. How can I get more confident?","A good way to start is the language or ""self talk"" that is happening inside your mind. Looking at your question, when it is said that the presentations ""make me feel stress"" you are giving the responsibility of the stress to the presentations and taking that away from your self. The presentations cannot give or take away your stress, that's something only you can do and you can do it! What language can you change in your self talk? For example, are you saying ""I can't speak in front of an audience! I'll fail?"" That sounds a lot different than ""I studied my butt off and if I practice speaking out loud, I can ace this presentation!"" Although this is a short answer, I do believe that counseling will help you overcome these stressful feelings and bring out your inner confidence.",en,,28599e1f110e9bf0d4a92453fb0058ac
dlg_b429d702def6ba7ca1368c2502976fde,train.csv,dialogue,I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone?,"I'm so sorry you're feeling like things will never get better. Try to remember that whatever illness you are dealing with, you are not the only person to have dealt with it and you are not alone! Out there, just waiting for you, is a group of people that will totally understand what you're going through and will be able to share how they coped. Try searching for a support group for your illness - google and www.psychologytoday.com are both good places to start for those groups.",en,,b429d702def6ba7ca1368c2502976fde
dlg_3d531194f693856e2ae04ab26f5a724f,train.csv,dialogue,"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.","I am so sorry you are struggling! I do think it's a good idea to share your feelings with your parents and perhaps get some help connecting with a counselor or therapist if you feel that might help. There are lots of ways to tell them, depending on your relationship. Maybe saying ""I wanted to tell you guys something.. sometimes I worry that I might be depressed."" Or, some folks will write a letter, or even send a text. The most important thing is that you tell someone you trust so you don't feel so miserable. I hope this helps. Best of luck.",en,,3d531194f693856e2ae04ab26f5a724f
dlg_2cb7ee4fadee61b35f2e6b6a42f58dbe,train.csv,dialogue,"I’m in love with my friend who is also a girl. I fell in love with her in a few months. That was my first love. We used to talk for the whole day and night over the phone and on Facebook. I thought she had the same feelings for me, but I was wrong. I always wanted to touch her warmly and stay with her all my life. But all my dreams get broken apart after she got into a relationship with a guy. I’ve tried to be in relationship with guys, but I can’t be in love with them.","It all depends how old you are and what a particular situation is. You may be feeling very close to this friend and mistake that feeling for sexual feeling, or the feelings may be real. This is something you will find out for yourself, however, it definitely doesn't mean that you are a lesbian just because you have those feelings for this particular person. Time will tell, but if you need to discuss this, you could see your school councelor (if you are at school/university) or find a LGBT group with meetings and discuss this with them. I hope this is helpful.",en,,2cb7ee4fadee61b35f2e6b6a42f58dbe
dlg_8c13bf4eed75271cbef08574f030286e,train.csv,dialogue,"I’m a man, and I’m soon to be married. I have been messing around with other men on the side. It started as a once in a while thing, but it’s been happening a lot. I don't know what to do.","Divorce is expensive emotionally and financially. If your fiance is not ok with an open marriage, it would be a good idea to seek the help of a counselor before you get married.",en,,8c13bf4eed75271cbef08574f030286e
dlg_f69839196bdbb69858aa121829747004,train.csv,dialogue,"My girlfriend's grandma passed away 5 months ago. They were very close. She took care of her till she died. Things kinda returned to normal few weeks later. Last month it feels like we hit a brick wall. Intimacy fell off. I asked what's up. She says she can't connect with anyone and that it's not me. She used to be very open and expressive. Now she gives short answers and has no interest in sex or any touching. When we did have sex in the last month, something felt really off. Now I'm very insecure about us and have thoughts of her cheating. She says otherwise, but I don't know. It just feels like something is really off.","Grief has a huge impact on us and everyone's reaction is different. The one common reaction however is to shut down and distance ourselves. Her relationship with her grandmother was close, given she took care of her up until she passed. It sounds like she is working through a difficult loss and her ability to connect with you, or anyone else, is likely low right now. Trust what she is telling you and try to be there for her as she works through it. If she finds it too difficult to connect again, a good grief counselor can help her get back on track.",en,,f69839196bdbb69858aa121829747004
