id,source,type,prompt,response,lang,orig_id,fp
dlg_cbb0155f815386275f372989ec609d9f,train.csv,dialogue,ఇది నేను ఆందోళన చెందాల్సిన విషయమా? నేను దాని గురించి ఏదైనా చేయాలా?,"మీ కొడుకు జీవితంలోని ఇతర రంగాలు ఎలా పని చేస్తున్నాయి అనే దానిపై సమాధానం ఆధారపడి ఉంటుంది. అతను సంతోషంగా ఉన్నాడా లేదా సంతోషంగా ఉన్నాడా, అతను విశ్రాంతి సమయంలో ఒంటరిగా ఆడుతున్నాడా? విరామ సమయంలో అతను ఉన్న విద్యార్థులతో పాటు ఇతర సామాజిక సర్కిల్‌లలో అతనికి స్నేహితులు ఉన్నారా? అతని విద్యా పురోగతి ఎలా ఉంది? అతని క్లాస్‌మేట్స్‌లో అతని సామాజిక ఏకీకరణ ఎలా ఉంది? సమయం మరియు విరామ సమయంలో ఈ ఎంపికను తీసుకుంటుంది, లేదా పైన పేర్కొన్న ప్రాంతాలు అతనికి ఒత్తిడి లేదా ఇబ్బందిని చూపిస్తే మరియు వాటిని మరింత అర్థం చేసుకోవాలి మరియు నిర్వహించాలి.",te,,88af44ce88510748816a9e7312ca4c8c
dlg_c7613dbed473f5ba3dd4199dc32fa2ee,train.csv,dialogue,"నాకు బింగింగ్ అనే ఈటింగ్ డిజార్డర్ ఉంది. నాకు గ్యాస్ట్రిక్ స్లీవ్ సర్జరీ జరిగింది. చిన్నతనంలో దుర్వినియోగం, వ్యసనం మరియు దుర్వినియోగం చేసే పురుషుల సమస్యలతో నాకు సహాయం కావాలి. నేను ఐదు నెలలుగా చికిత్సలో ఉన్నాను మరియు నా థెరపిస్ట్ నుండి ఎటువంటి అభిప్రాయాన్ని పొందలేదు.","మీ సలహాదారు మీకు అవసరమైన సహాయాన్ని అందించడం లేదని భావించడం నిజంగా నిరుత్సాహాన్ని కలిగిస్తుంది. ఇలాంటి పరిస్థితుల్లో మీరు ఎలా భావిస్తున్నారో మీ కౌన్సెలర్‌కు తెలియజేయడమే నా సిఫార్సు. మీరు కోరుకున్నంత ఫీడ్‌బ్యాక్ మీకు అందడం లేదని మీ కౌన్సెలర్‌కి ప్రత్యేకంగా చెప్పండి. ఇది సహాయం చేయకపోతే, మీకు బాగా సరిపోయే మరొక సలహాదారుని మీరు వెతకవచ్చు.",te,,d7675399cb6b77529283d2c75b728dc6
dlg_a1be9cdc599d68a8c56c03478da9565b,train.csv,dialogue,కాసేపటి క్రితం నన్ను బయటకు అడిగాడు ఈ అబ్బాయి. నా స్నేహితులు మరియు కుటుంబ సభ్యులు నా గురించి వింతగా ఆలోచిస్తారు కాబట్టి నేను నో చెప్పాను. నేను అతనితో ఎలా ఉంటాను మరియు అతనితో ఎలా చెప్పగలను మరియు నా స్నేహితులకు చెప్పగలను?,"మీరు ఇప్పటికే తన ఆసక్తిని కనబరిచిన అబ్బాయితో ఉండాలని మీరు నిర్ణయించుకున్నారు కాబట్టి, మీరు కలిసి ఉండమని అతని ఆహ్వానాన్ని అంగీకరించాలని నిర్ణయించుకున్నారని అతనితో ఎందుకు చెప్పకూడదు?బహుశా ఈ అబ్బాయిని మీ జీవితంలోకి అంగీకరించడానికి వెనుకాడడం గురించి మీ మొదటి ఆందోళన, మీరు అలా చేస్తే మీ కుటుంబం ప్రతిస్పందించవచ్చని మీరు ఊహించిన విధంగా, పరిష్కరించడానికి మరింత సంక్లిష్టమైన అంశం. అదే సమయంలో, మేము ఇప్పటికే మేము పెరిగిన కుటుంబానికి చెందిన వారితో పాతుకుపోయిన విలువలను కలిగి ఉన్నాము. ఈ అబ్బాయితో ఉండాలనే మీ సందిగ్ధత మీ భాగస్వామి ఎంపికతో సహా వ్యక్తిగా మీ విలువల మధ్య ఘర్షణ ఉందని చూపిస్తుంది మరియు మీ కుటుంబ సభ్యులు జంటగా ఉండటానికి మద్దతు ఇచ్చే విలువలను అర్థం చేసుకునే విధానం. మరియు మీరు నిజంగా వ్యక్తి.",te,,a2338500eeef0d0b33cf5d983c07b9c1
dlg_017a5073f7e494c8490f955fc5546d82,train.csv,dialogue,"ఏ సమయంలోనైనా విషయాలు వేడెక్కినప్పుడు, గతం పైకి తీసుకురాబడుతుంది. నేను ఒక పాయింట్‌ని పొందడానికి ప్రయత్నించడానికి ఆమె వద్ద నా గొంతు పెంచాను. ఆమె ఓపెన్-ఎండ్ ప్రశ్నలు అడుగుతుంది, కానీ ఎల్లప్పుడూ నా స్వంత సమాధానాన్ని నాకు వ్యతిరేకంగా తిప్పాలి. ఆమె ఏడు నెలల గర్భిణి. నేను గతంలో తాగాను, కానీ నేను మద్యంపై ఆధారపడను-నేను సామాజిక కార్యక్రమాలలో మాత్రమే తాగుతాను.","మీ ఇద్దరి మధ్య వేడి లేని ప్రస్తుత సమయంలో మీరు గతంలోని విషయాల గురించి మాట్లాడటానికి ప్రయత్నించారా? మీ gf గతం నుండి పరిస్థితులను పరిష్కరించాలనుకుంటున్నందున వాటి గురించి మాట్లాడటం ఉత్తమ మార్గం. మీరు నిర్దిష్ట సబ్జెక్ట్‌లను ఎంత ఎక్కువగా నివారించేందుకు ప్రయత్నిస్తే అంత అధ్వాన్నమైన సందర్భాల్లో అవి మీ మధ్య వచ్చే అవకాశం ఉంది. మీ నియంత్రణ లేకుండా వస్తున్న పాత అంశాల నమూనాను మీరు అధిగమించగలిగితే, వాటి గురించి చర్చను షెడ్యూల్ చేయడానికి ప్రయత్నించండి. ఇది మీ gfకి ఆమె శ్రద్ధ వహించే దాని గురించి మీరు శ్రద్ధ వహిస్తారని చూపిస్తుంది మరియు ఇది ఆమె మంచి అనుభూతిని కలిగిస్తుంది.",te,,1eb79598fb75a16bc3ef19fba549b30b
dlg_28599e1f110e9bf0d4a92453fb0058ac,train.csv,dialogue,"నేను నిజంగా సిగ్గుపడే వ్యక్తిని. నేను ప్రస్తుతం గ్రాడ్యుయేట్ ప్రోగ్రామ్‌లో ఉన్నాను, దీనికి చాలా ప్రెజెంటేషన్‌లు అవసరమవుతాయి, కానీ అవి నన్ను ఎప్పుడూ ఒత్తిడికి గురిచేస్తాయి మరియు తక్కువ ఆత్మవిశ్వాసాన్ని కలిగిస్తాయి. నేను మరింత ఆత్మవిశ్వాసాన్ని ఎలా పొందగలను?","ప్రారంభించడానికి మంచి మార్గం మీ మనస్సులో జరుగుతున్న భాష లేదా ""సెల్ఫ్ టాక్"". మీ ప్రశ్నను చూస్తే, ప్రెజెంటేషన్‌లు ""నాకు ఒత్తిడిని కలిగిస్తాయి"" అని చెప్పినప్పుడు, మీరు ఒత్తిడికి బాధ్యతను ప్రెజెంటేషన్‌లకు ఇస్తున్నారు మరియు దానిని మీ నుండి దూరం చేస్తున్నారు. ప్రదర్శనలు మీ ఒత్తిడిని ఇవ్వలేవు లేదా తీసివేయలేవు, అది మీరు మాత్రమే చేయగలిగినది మరియు మీరు దీన్ని చేయగలరు! మీ స్వీయ సంభాషణలో మీరు ఏ భాషను మార్చగలరు? ఉదాహరణకు, మీరు ""నేను ప్రేక్షకుల ముందు మాట్లాడలేను! నేను విఫలమవుతాను?"" ఇది ""నేను నా బట్ ఆఫ్ అధ్యయనం చేసాను మరియు నేను బిగ్గరగా మాట్లాడటం ప్రాక్టీస్ చేస్తే, నేను ఈ ప్రదర్శనను ఏస్ చేయగలను!"" ఇది చిన్న సమాధానం అయినప్పటికీ, ఈ ఒత్తిడితో కూడిన భావాలను అధిగమించడానికి మరియు మీ అంతర్గత విశ్వాసాన్ని బయటకు తీసుకురావడానికి కౌన్సెలింగ్ మీకు సహాయపడుతుందని నేను నమ్ముతున్నాను.",te,,c01ea95fdc52514270cac229b25eb114
dlg_b429d702def6ba7ca1368c2502976fde,train.csv,dialogue,నేను ఎప్పటికీ తగ్గని అనారోగ్యంతో వ్యవహరిస్తున్నాను మరియు నా జీవితం ఎప్పటికీ మంచిగా మారదని నేను భావిస్తున్నాను. నేను ఒంటరిగా మరియు నాకు ఎవరూ లేరని భావిస్తున్నాను. ఈ బాధను అధిగమించి ఒంటరిగా సంతోషంగా ఉండడం ఎలా నేర్చుకోవాలి?,"పరిస్థితులు ఎప్పటికీ మెరుగుపడవని మీరు భావిస్తున్నందుకు నన్ను క్షమించండి. మీరు ఏ అనారోగ్యంతో వ్యవహరిస్తున్నా, మీరు మాత్రమే దానిని ఎదుర్కొన్న వ్యక్తి కాదు మరియు మీరు ఒంటరిగా లేరని గుర్తుంచుకోవడానికి ప్రయత్నించండి! అక్కడ, మీ కోసం వేచి ఉంది, మీరు ఏమి చేస్తున్నారో పూర్తిగా అర్థం చేసుకునే వ్యక్తుల సమూహం మరియు వారు ఎలా ఎదుర్కొన్నారో పంచుకోగలరు. మీ అనారోగ్యం కోసం సహాయక సమూహం కోసం శోధించడానికి ప్రయత్నించండి - google మరియు www.psychologytoday.com ఆ సమూహాల కోసం ప్రారంభించడానికి మంచి స్థలాలు.",te,,e295351a8877f550369c913dc6b113d0
dlg_3d531194f693856e2ae04ab26f5a724f,train.csv,dialogue,"నేను డిప్రెషన్‌లో ఉన్నానో లేదో నాకు తెలియదు. నా తల్లితండ్రుల వద్దకు ఎలా తీసుకురావాలో నాకు తెలియదు, మరియు అది నన్ను దుఃఖానికి గురి చేస్తుంది.","మీరు కష్టపడుతున్నందుకు నన్ను క్షమించండి! మీ తల్లిదండ్రులతో మీ భావాలను పంచుకోవడం మంచి ఆలోచన అని నేను భావిస్తున్నాను మరియు అది మీకు సహాయపడుతుందని మీరు భావిస్తే, సలహాదారు లేదా థెరపిస్ట్‌తో కనెక్ట్ అవ్వడానికి కొంత సహాయం పొందండి. మీ సంబంధాన్ని బట్టి వారికి చెప్పడానికి చాలా మార్గాలు ఉన్నాయి. బహుశా ""నేను మీకు ఏదో చెప్పాలనుకున్నాను.. కొన్నిసార్లు నేను నిరాశకు లోనవుతాను అని నేను చింతిస్తున్నాను."" లేదా, కొంతమంది వ్యక్తులు ఒక లేఖ వ్రాస్తారు లేదా వచనాన్ని కూడా పంపుతారు. అత్యంత ముఖ్యమైన విషయం ఏమిటంటే, మీరు విశ్వసించే వారితో చెప్పండి, తద్వారా మీరు చాలా దయనీయంగా భావించరు. ఇది సహాయపడుతుందని నేను ఆశిస్తున్నాను. బెస్ట్ ఆఫ్ లక్.",te,,491f7a04cb04384328c0254e66df26c8
dlg_2cb7ee4fadee61b35f2e6b6a42f58dbe,train.csv,dialogue,"నేను నా స్నేహితురాలు కూడా ప్రేమలో ఉన్నాను. నేను కొన్ని నెలల్లో ఆమెతో ప్రేమలో పడ్డాను. అదే నా తొలి ప్రేమ. రాత్రంతా ఫోన్‌లో, ఫేస్‌బుక్‌లో మాట్లాడుకునేవాళ్లం. ఆమెకు నా పట్ల అదే భావాలు ఉన్నాయని నేను అనుకున్నాను, కాని నేను తప్పు చేశాను. నేను ఎప్పుడూ ఆమెను ఆప్యాయంగా తాకాలని మరియు నా జీవితమంతా ఆమెతో ఉండాలని కోరుకున్నాను. కానీ ఆమె ఒక వ్యక్తితో సంబంధం పెట్టుకున్న తర్వాత నా కలలన్నీ విడిపోయాయి. నేను అబ్బాయిలతో సంబంధం కలిగి ఉండటానికి ప్రయత్నించాను, కానీ నేను వారితో ప్రేమలో ఉండలేను.","ఇది మీ వయస్సు ఎంత మరియు నిర్దిష్ట పరిస్థితి ఏమిటో ఆధారపడి ఉంటుంది. మీరు ఈ స్నేహితుడికి చాలా సన్నిహితంగా ఉన్న అనుభూతిని కలిగి ఉండవచ్చు మరియు ఆ అనుభూతిని లైంగిక భావనగా తప్పుగా భావించవచ్చు లేదా భావాలు నిజమైనవి కావచ్చు. ఇది మీ కోసం మీరు కనుగొనే విషయం, అయినప్పటికీ, ఈ నిర్దిష్ట వ్యక్తి పట్ల మీకు అలాంటి భావాలు ఉన్నందున మీరు లెస్బియన్ అని ఖచ్చితంగా అర్థం కాదు. సమయం చెబుతుంది, కానీ మీరు దీన్ని చర్చించాల్సిన అవసరం ఉన్నట్లయితే, మీరు మీ పాఠశాల కౌన్సలర్‌ను చూడవచ్చు (మీరు పాఠశాల/విశ్వవిద్యాలయంలో ఉన్నట్లయితే) లేదా మీటింగ్‌లతో కూడిన LGBT సమూహాన్ని కనుగొని, వారితో దీని గురించి చర్చించండి. ఇది సహాయకారిగా ఉంటుందని నేను ఆశిస్తున్నాను.",te,,8369fb75b68157d49eae58d1aaed3d80
dlg_8c13bf4eed75271cbef08574f030286e,train.csv,dialogue,"నేను మనిషిని, త్వరలో పెళ్లి చేసుకోబోతున్నాను. నేను ప్రక్కన ఉన్న ఇతర పురుషులతో కలిసి మెలిసి ఉన్నాను. ఇది ఎప్పుడో ఒకప్పుడు ఇలా మొదలైంది, కానీ ఇది చాలా జరుగుతోంది. ఏం చేయాలో తెలియడం లేదు.","విడాకులు మానసికంగా మరియు ఆర్థికంగా ఖరీదైనవి. మీ కాబోయే భర్త బహిరంగ వివాహం చేసుకోకపోతే, మీరు పెళ్లి చేసుకునే ముందు కౌన్సిలర్ సహాయం తీసుకోవడం మంచిది.",te,,5887ce45eef22b40c58fc338589d111b
dlg_f69839196bdbb69858aa121829747004,train.csv,dialogue,"నా స్నేహితురాలి అమ్మమ్మ 5 నెలల క్రితం మరణించింది. వారు చాలా సన్నిహితంగా ఉండేవారు. ఆమె చనిపోయే వరకు ఆమెను చూసుకుంది. కొన్ని వారాల తర్వాత పరిస్థితులు సాధారణ స్థితికి చేరుకున్నాయి. గత నెల మనం ఇటుక గోడను కొట్టినట్లు అనిపిస్తుంది. సాన్నిహిత్యం పడిపోయింది. ఏమిటని అడిగాను. తాను ఎవరితోనూ కనెక్ట్ కాలేనని, అది నేనేనని చెప్పింది. ఆమె చాలా ఓపెన్‌గా, ఎక్స్‌ప్రెసివ్‌గా ఉండేది. ఇప్పుడు ఆమె చిన్న సమాధానాలు ఇస్తుంది మరియు సెక్స్ లేదా టచ్ చేయడంలో ఆసక్తి లేదు. గత నెలలో మేము సెక్స్‌లో పాల్గొన్నప్పుడు, ఏదో అసహ్యంగా అనిపించింది. ఇప్పుడు నేను మా గురించి చాలా అసురక్షితంగా ఉన్నాను మరియు ఆమె మోసం గురించి ఆలోచనలు కలిగి ఉన్నాను. ఆమె మరోలా చెప్పింది, కానీ నాకు తెలియదు. ఇది నిజంగా ఏదో ఆఫ్ ఉన్నట్లు అనిపిస్తుంది.","దుఃఖం మనపై చాలా ప్రభావం చూపుతుంది మరియు ప్రతి ఒక్కరి ప్రతిచర్య భిన్నంగా ఉంటుంది. అయితే ఒక సాధారణ ప్రతిచర్య ఏమిటంటే షట్ డౌన్ చేయడం మరియు మనల్ని మనం దూరం చేసుకోవడం. ఆమె అమ్మమ్మతో ఆమె సంబంధం చాలా సన్నిహితంగా ఉంది, ఆమె పాస్ అయ్యే వరకు ఆమెను జాగ్రత్తగా చూసుకుంది. ఆమె కష్టమైన నష్టాన్ని ఎదుర్కొంటున్నట్లు అనిపిస్తుంది మరియు మీతో లేదా మరెవరితోనైనా కనెక్ట్ అయ్యే అవకాశం ప్రస్తుతం తక్కువగా ఉంది. ఆమె మీకు ఏమి చెబుతుందో విశ్వసించండి మరియు ఆమె దాని ద్వారా పని చేస్తున్నప్పుడు ఆమెతో ఉండటానికి ప్రయత్నించండి. ఆమెకు మళ్లీ కనెక్ట్ కావడం చాలా కష్టంగా అనిపిస్తే, మంచి గ్రీఫ్ కౌన్సెలర్ ఆమెకు తిరిగి ట్రాక్‌లోకి రావడానికి సహాయం చేయవచ్చు.",te,,fc0afaa6406e6a75723e2bd42fec2138
