id,source,type,prompt,response,lang,orig_id,fp
dlg_cbb0155f815386275f372989ec609d9f,train.csv,dialogue,क्या इस बारे में मुझे कुछ चिंतित होना चाहिए? क्या मुझे इसके बारे में कुछ करना चाहिए?,"उत्तर इस बात पर निर्भर करता है कि आपके बेटे के जीवन के अन्य क्षेत्र कैसा कर रहे हैं। क्या वह खुश है या वह खुश दिखता है, अवकाश के दौरान अकेले खेल रहा है? क्या अवकाश के दौरान वह जिन छात्रों के साथ है, उनके अलावा अन्य सामाजिक समूहों में उसके दोस्त हैं? उसकी शैक्षणिक प्रगति कैसी है? उसके सहपाठियों के बीच उसका सामाजिक एकीकरण कैसा है? क्या घर और परिवार के माहौल में कोई विशेष या असामान्य परिस्थितियाँ हैं? इस सूची के माध्यम से एक पूर्ण विचार बनाएं कि क्या आपका बेटा केवल अकेले समय पसंद करता है और अवकाश के दौरान इस विकल्प को लेता है, या यदि कोई हो तो उपरोक्त विकल्प अपनाता है। क्षेत्र उसके लिए तनाव या कठिनाई दर्शाते हैं और जिन्हें आगे समझने और संभालने की आवश्यकता है।",hi,,066312c81016ef51cd5a0c80bbeb84ec
dlg_c7613dbed473f5ba3dd4199dc32fa2ee,train.csv,dialogue,"मुझे ठूंस-ठूंस कर खाने की बीमारी है। मेरी गैस्ट्रिक स्लीव सर्जरी हुई है। मुझे बचपन में दुर्व्यवहार, व्यसन और दुर्व्यवहार करने वाले पुरुषों के मुद्दों पर मदद की ज़रूरत है। मैं पांच महीने से चिकित्सा में हूं और मुझे अपने चिकित्सक से कोई प्रतिक्रिया नहीं मिली है।","यह महसूस करना वास्तव में निराशाजनक हो सकता है कि आपका परामर्शदाता आपको वह सहायता प्रदान नहीं कर रहा है जिसकी आपको आवश्यकता है। ऐसी स्थिति में मेरी सिफारिश होगी कि आप अपने परामर्शदाता को बताएं कि आप कैसा महसूस करते हैं। विशेष रूप से अपने परामर्शदाता को बताएं कि आपको उतना फीडबैक नहीं मिल रहा है जितना आप चाहते हैं। यदि इससे मदद नहीं मिलती है, तो आप किसी अन्य परामर्शदाता की तलाश करना चाहेंगे जो आपके लिए बेहतर उपयुक्त होगा।",hi,,2e49a396958571397b3b8f0db3663941
dlg_a1be9cdc599d68a8c56c03478da9565b,train.csv,dialogue,यह वह लड़का है जिसने कुछ समय पहले मुझसे बाहर घूमने के लिए पूछा था। मैंने नहीं कहा क्योंकि मेरे दोस्त और परिवार मेरे बारे में अजीब सोचेंगे। मैं उसके साथ कैसे रहूँ और उसे कैसे बताऊँ और अपने दोस्तों को कैसे बताऊँ?,"चूंकि आपने उस लड़के के साथ रहने का फैसला कर लिया है जिसने पहले ही आपको अपनी रुचि दिखा दी है, तो फिर उसे सिर्फ यह क्यों न बताएं कि आपने साथ रहने के लिए उसके निमंत्रण को स्वीकार करने का फैसला किया है? संभवतः आपकी पहली चिंता इस लड़के को अपने जीवन में स्वीकार करने में झिझकने की है, जिस तरह से आप कल्पना करते हैं कि यदि आप ऐसा करते हैं तो आपका परिवार प्रतिक्रिया दे सकता है, यह हल करने के लिए अधिक जटिल मामला है। संबंध बनाने से हमारे मूल्य सामने आते हैं और ये हमारे मूल्यों से भिन्न या समान होते हैं। साथ ही, हमारे पास पहले से ही ऐसे मूल्य हैं जो उस परिवार के मूल्यों में निहित हैं जिसमें हम बड़े हुए हैं। इस लड़के के साथ रहने की इच्छा की आपकी दुविधा दर्शाती है कि एक व्यक्ति के रूप में आपके मूल्यों, जिसमें आपके साथी की पसंद और जिस तरह से आपका परिवार उन मूल्यों को समझता है जो एक जोड़े का हिस्सा होने का समर्थन करते हैं, के बीच टकराव है। आप जो महसूस करते हैं, उसके प्रति सच्चे रहें, चाहे यह आपके परिवार से आता है या जिस तरह से आप वर्तमान में विकसित हो रहे हैं। यह गारंटी देगा कि आपका नया रिश्ता उन मूल्यों और व्यक्ति के आधार पर बनाया जाएगा जो आप वास्तव में हैं।",hi,,fd6cde368890f6782998973c5859434c
dlg_017a5073f7e494c8490f955fc5546d82,train.csv,dialogue,"जब भी चीजें गर्म होती हैं, अतीत सामने आ जाता है। मैं अपनी बात मनवाने की कोशिश करने के लिए उस पर अपनी आवाज उठाता हूं। वह खुले-अंत वाले सवाल पूछती है लेकिन हमेशा उसे मेरे ही जवाब को मेरे ख़िलाफ़ करना पड़ता है। वह सात माह की गर्भवती है. मैंने पहले भी शराब पी है, लेकिन मैं शराब पर निर्भर नहीं हूं—मैं केवल सामाजिक कार्यक्रमों में पीता हूं।","क्या आपने अतीत के विषयों पर, वर्तमान में उस समय बात करने की कोशिश की है जब आप दोनों के बीच कोई गर्माहट नहीं है? चूंकि आपकी प्रेमिका अतीत की स्थितियों को सुलझाना चाहती है, इसलिए ऐसा करने का सबसे अच्छा तरीका उनके बारे में बात करना होगा। जितना अधिक आप कुछ विषयों से बचने की कोशिश करेंगे उतनी अधिक संभावना है कि वे आपके बीच सबसे खराब क्षणों में सामने आएंगे। यदि आप अपने नियंत्रण के बिना आने वाले पुराने विषयों के पैटर्न से आगे निकल सकते हैं, तो उनके बारे में चर्चा का समय निर्धारित करने का प्रयास करें। यह अपने आप में आपकी गर्लफ्रेंड को दिखाएगा कि आप उसकी परवाह करते हैं जिसकी उसे परवाह है और यह एक ऐसा गुण हो सकता है जिसके बारे में उसे अच्छा लगेगा।",hi,,5a6e1b92a6e07b53541efe1de5b9adbc
dlg_28599e1f110e9bf0d4a92453fb0058ac,train.csv,dialogue,"मैं वास्तव में शर्मीला व्यक्ति हूं. मैं फिलहाल एक स्नातक कार्यक्रम में हूं जिसके लिए बहुत सारी प्रस्तुतियों की आवश्यकता होती है, लेकिन वे मुझे हमेशा तनावग्रस्त और कम आत्मविश्वासी महसूस कराते हैं। मैं और अधिक आश्वस्त कैसे हो सकता हूँ?","शुरुआत करने का एक अच्छा तरीका वह भाषा या ""स्वयं से बातचीत"" है जो आपके दिमाग में चल रही है। आपके प्रश्न को देखते हुए, जब यह कहा जाता है कि प्रस्तुतियाँ ""मुझे तनाव महसूस कराती हैं"" तो आप तनाव की ज़िम्मेदारी प्रस्तुतियों को दे रहे हैं और उसे अपने आप से दूर ले जा रहे हैं। प्रस्तुतियाँ आपका तनाव न तो बढ़ा सकती हैं और न ही दूर कर सकती हैं, यह कुछ ऐसा है जो केवल आप ही कर सकते हैं और आप ही कर सकते हैं! आप अपनी बातचीत में कौन सी भाषा बदल सकते हैं? उदाहरण के लिए, क्या आप कह रहे हैं ""मैं दर्शकों के सामने नहीं बोल सकता! मैं असफल हो जाऊँगा?"" यह ""मैंने अपने बट का अध्ययन किया है और अगर मैं ज़ोर से बोलने का अभ्यास करता हूं, तो मैं इस प्रस्तुति में सफल हो सकता हूं!"" से बहुत अलग लगता है! हालाँकि यह एक संक्षिप्त उत्तर है, मुझे विश्वास है कि परामर्श आपको इन तनावपूर्ण भावनाओं को दूर करने और आपके आंतरिक आत्मविश्वास को बाहर लाने में मदद करेगा।",hi,,85c6eea77607104ecbb2c536e4c1eeda
dlg_b429d702def6ba7ca1368c2502976fde,train.csv,dialogue,मैं एक ऐसी बीमारी से जूझ रहा हूं जो कभी दूर नहीं होगी और मुझे लगता है कि मेरा जीवन कभी भी बेहतर नहीं होगा। मैं अकेला महसूस करता हूं और मेरा कोई नहीं है। मैं इस दर्द से कैसे उबर सकता हूं और अकेले खुश रहना कैसे सीख सकता हूं?,"मुझे बहुत खेद है कि आप ऐसा महसूस कर रहे हैं कि चीजें कभी बेहतर नहीं होंगी। याद रखने की कोशिश करें कि आप जिस भी बीमारी से जूझ रहे हैं, उससे निपटने वाले आप अकेले व्यक्ति नहीं हैं और आप अकेले नहीं हैं! वहाँ, बस आपका इंतज़ार कर रहे लोगों का एक समूह है जो पूरी तरह से समझेगा कि आप किस स्थिति से गुज़र रहे हैं और यह साझा करने में सक्षम होंगे कि उन्होंने इसका सामना कैसे किया। अपनी बीमारी के लिए एक सहायता समूह खोजने का प्रयास करें - Google और www.psychologytoday.com दोनों उन समूहों के लिए शुरुआत करने के लिए अच्छी जगहें हैं।",hi,,4f41adcc2e18a44bc7ea393b72d88917
dlg_3d531194f693856e2ae04ab26f5a724f,train.csv,dialogue,मुझे यकीन नहीं है कि मैं उदास हूं। मुझे नहीं पता कि मैं इसे अपने माता-पिता तक कैसे पहुंचाऊं और इससे मुझे दुख होता है।,"मुझे खेद है कि आप संघर्ष कर रहे हैं! मुझे लगता है कि अपनी भावनाओं को अपने माता-पिता के साथ साझा करना एक अच्छा विचार है और अगर आपको लगता है कि इससे मदद मिल सकती है, तो शायद किसी परामर्शदाता या चिकित्सक से मदद मिल सकती है। आपके रिश्ते के आधार पर, उन्हें बताने के कई तरीके हैं। शायद यह कहते हुए कि ""मैं आप लोगों को कुछ बताना चाहता था.. कभी-कभी मुझे चिंता होती है कि मैं उदास हो सकता हूँ।"" या, कुछ लोग पत्र लिखेंगे, या पाठ भी भेजेंगे। सबसे महत्वपूर्ण बात यह है कि आप किसी ऐसे व्यक्ति को बताएं जिस पर आप भरोसा करते हैं ताकि आप इतना दुखी महसूस न करें। आशा है यह मदद करेगा। शुभकामनाएं।",hi,,28ce708cb9f7a2b0cdd9e97d39cade9e
dlg_2cb7ee4fadee61b35f2e6b6a42f58dbe,train.csv,dialogue,"मुझे अपने दोस्त से प्यार है जो एक लड़की है। कुछ ही महीनों में मुझे उससे प्यार हो गया. वो मेरा पहला प्यार था. हम दिन-रात फोन पर और फेसबुक पर बातें करते रहते थे। मुझे लगा कि उसके मन में भी मेरे लिए वही भावनाएँ हैं, लेकिन मैं गलत था। मैं हमेशा उसे गर्मजोशी से छूना चाहता था और जीवन भर उसके साथ रहना चाहता था। लेकिन एक लड़के के साथ रिश्ते में आने के बाद मेरे सारे सपने टूट गए। मैंने लोगों के साथ रिश्ते में रहने की कोशिश की है, लेकिन मैं उनके साथ प्यार में नहीं पड़ सकती।","यह सब इस पर निर्भर करता है कि आपकी उम्र कितनी है और कोई विशेष स्थिति क्या है। हो सकता है कि आप इस मित्र के साथ बहुत निकटता महसूस कर रहे हों और उस भावना को यौन भावना समझने की भूल कर रहे हों, या भावनाएँ वास्तविक हो सकती हैं। यह कुछ ऐसा है जिसे आप स्वयं ही पता लगा लेंगे, हालाँकि, इसका निश्चित रूप से यह मतलब नहीं है कि आप केवल इसलिए समलैंगिक हैं क्योंकि आपके मन में इस विशेष व्यक्ति के लिए वे भावनाएँ हैं। समय बताएगा, लेकिन यदि आपको इस पर चर्चा करने की आवश्यकता है, तो आप अपने स्कूल काउंसलर (यदि आप स्कूल/विश्वविद्यालय में हैं) से मिल सकते हैं या बैठकों के साथ एक एलजीबीटी समूह ढूंढ सकते हैं और उनके साथ इस पर चर्चा कर सकते हैं। मुझे आशा है कि यह मददगार है।",hi,,fb7fd93e0902c8e9dd2022b48daad1cc
dlg_8c13bf4eed75271cbef08574f030286e,train.csv,dialogue,"मैं एक पुरुष हूं और जल्द ही मेरी शादी होने वाली है। मैं दूसरे लोगों के साथ खिलवाड़ कर रहा हूं। इसकी शुरुआत कभी-कभार होने वाली चीज़ के रूप में हुई थी, लेकिन यह बहुत अधिक हो रहा है। मुझे नहीं पता क्या करना है।","तलाक भावनात्मक और आर्थिक रूप से महंगा है। यदि आपका मंगेतर खुली शादी से सहमत नहीं है, तो शादी करने से पहले परामर्शदाता की मदद लेना अच्छा विचार होगा।",hi,,64efc07aad61127fbeb1c773b37c7e97
dlg_f69839196bdbb69858aa121829747004,train.csv,dialogue,"मेरी प्रेमिका की दादी का 5 महीने पहले निधन हो गया। वे बहुत करीब थे. उसने उसकी मृत्यु तक उसकी देखभाल की। कुछ सप्ताह बाद हालात कुछ हद तक सामान्य हो गए। पिछले महीने ऐसा महसूस हुआ जैसे हम किसी ईंट की दीवार से टकरा गए हों। आत्मीयता ख़त्म हो गई. मैंने पूछा क्या बात है? वह कहती है कि वह किसी से नहीं जुड़ सकती और यह मैं नहीं हूं। वह बहुत खुली और अभिव्यंजक हुआ करती थीं। अब वह छोटे-छोटे जवाब देती है और उसे सेक्स या किसी छूने में कोई दिलचस्पी नहीं है। जब हमने पिछले महीने में सेक्स किया, तो वास्तव में कुछ अजीब सा महसूस हुआ। अब मैं हमारे बारे में बहुत असुरक्षित हूं और उसके धोखा देने के बारे में सोचती हूं। वह अन्यथा कहती है, लेकिन मैं नहीं जानता। ऐसा महसूस होता है जैसे सचमुच कुछ गड़बड़ है।","दुःख का हम पर बहुत बड़ा प्रभाव पड़ता है और हर किसी की प्रतिक्रिया अलग-अलग होती है। हालाँकि, एक सामान्य प्रतिक्रिया खुद को बंद कर लेना और दूरी बना लेना है। अपनी दादी के साथ उनका रिश्ता घनिष्ठ था, क्योंकि उनके निधन तक उन्होंने उनकी देखभाल की। ऐसा लगता है जैसे वह एक कठिन नुकसान से गुजर रही है और आपसे, या किसी और से जुड़ने की उसकी क्षमता अभी कम होने की संभावना है। वह आपसे जो कह रही है उस पर भरोसा करें और जब वह इस पर काम कर रही हो तो उसके लिए मौजूद रहने का प्रयास करें। यदि उसे फिर से जुड़ना बहुत मुश्किल लगता है, तो एक अच्छा शोक परामर्शदाता उसे वापस पटरी पर लाने में मदद कर सकता है।",hi,,815ed9e94cd891036364863ffef0ca2e
